City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Macheng,CN,31.1783,115.0319,90.12,52,45,8.14,scattered clouds
321,Mountain Home,US,43.133,-115.6912,69.28,23,0,12.66,clear sky
322,Port Blair,IN,11.6667,92.75,84.24,74,75,9.22,broken clouds
323,Mochudi,BW,-24.4167,26.15,34.39,55,0,6.24,clear sky
324,Ishinomaki,JP,38.4167,141.3,68.0,74,92,8.93,light rain
325,Barreirinha,BR,-2.7933,-57.07,71.83,98,65,2.93,broken clouds
326,Mykolayivka,UA,47.5414,30.7561,54.9,74,25,5.75,scattered clouds
327,Belaya Gora,RU,68.5333,146.4167,73.54,25,47,10.38,scattered clouds
328,Kulykiv,UA,50.3142,24.8176,48.67,91,13,4.23,few clouds
329,Kokopo,PG,-4.352,152.2633,85.28,64,46,6.46,scattered clouds
330,Andenes,NO,69.3143,16.1194,45.46,78,100,13.0,overcast clouds
331,Beroroha,MG,-21.6667,45.1667,61.63,73,8,1.21,clear sky
332,Princeton,US,25.5384,-80.4089,84.0,81,0,5.75,clear sky
333,Kasongo-Lunda,CD,-6.4667,16.8167,66.49,65,8,0.96,clear sky
334,Gavrilov Posad,RU,56.5597,40.1175,54.19,86,19,10.11,few clouds
335,Lappeenranta,FI,61.0587,28.1887,54.55,76,75,11.5,broken clouds
336,Sungaipenuh,ID,-2.0833,101.3833,72.0,86,86,1.19,overcast clouds
337,El Rosario,MX,24.2556,-107.1828,80.78,67,89,5.46,overcast clouds
338,Perevolotskiy,RU,51.8763,54.1938,68.54,55,5,2.37,clear sky
339,Makakilo City,US,21.3469,-158.0858,79.12,77,75,10.36,broken clouds
340,Zhuhai,CN,22.2769,113.5678,85.86,84,40,12.66,scattered clouds
341,Akdepe,TM,42.0551,59.3788,77.09,30,11,9.33,few clouds
342,Samarkand,UZ,39.6542,66.9597,80.02,34,0,11.5,clear sky
343,Zarate,AR,-34.0981,-59.0286,53.83,86,95,4.0,light rain
344,Baykit,RU,61.67,96.37,68.5,78,100,4.34,light rain
345,Aleksandrovskiy Zavod,RU,50.9237,117.9374,70.36,49,10,4.65,clear sky
346,Sfantu Gheorghe,RO,45.8667,25.7833,59.94,78,71,2.84,broken clouds
347,Inhambane,MZ,-23.865,35.3833,64.38,94,40,3.44,scattered clouds
348,Yulara,AU,-25.2406,130.9889,68.81,34,9,7.27,clear sky
349,Matagami,CA,49.7502,-77.6328,64.51,94,100,12.66,moderate rain
350,Shubarkuduk,KZ,49.1447,56.4872,73.27,39,50,4.74,scattered clouds
351,Honningsvag,NO,70.9821,25.9704,40.75,81,100,11.5,overcast clouds
352,Santa Rosa,PH,14.3122,121.1114,91.09,64,92,3.29,overcast clouds
353,Taltal,CL,-25.4,-70.4833,54.39,85,47,1.97,scattered clouds
354,Lashio,MM,22.9333,97.75,68.36,99,100,1.88,light rain
355,Faya,SA,18.3851,42.4509,68.11,21,49,2.98,scattered clouds
356,Bykovo,RU,55.6361,38.0803,57.61,77,0,4.47,clear sky
357,Kardymovo,RU,54.8902,32.4311,48.33,91,0,6.87,clear sky
358,La Libertad,EC,-2.2333,-80.9,70.9,80,32,11.79,scattered clouds
359,Paranaiba,BR,-19.6772,-51.1908,67.46,76,5,5.3,clear sky
360,Chulman,RU,56.8479,124.9104,64.04,45,60,6.87,broken clouds
361,Chuy,UY,-33.6971,-53.4616,51.8,84,87,5.41,overcast clouds
362,Cortez,US,37.3489,-108.5859,65.7,23,0,0.0,clear sky
363,Sola,VU,-13.8833,167.55,84.87,79,100,4.61,overcast clouds
364,Gambo,CF,4.6482,22.2633,68.45,99,100,1.28,overcast clouds
365,Esperance,AU,-33.8667,121.9,64.04,58,0,8.39,clear sky
366,Garowe,SO,8.4054,48.4845,75.78,62,58,22.17,broken clouds
367,Xuddur,SO,4.1213,43.8894,69.04,79,47,13.09,scattered clouds
368,Custodia,BR,-8.0875,-37.6431,66.09,95,100,10.54,overcast clouds
369,Ruski Krstur,RS,45.5628,19.4158,53.62,64,15,2.55,few clouds
370,Chernyshevskiy,RU,63.0128,112.4714,72.07,39,100,5.06,overcast clouds
371,Sorland,NO,67.667,12.6934,46.26,84,12,3.31,few clouds
372,Olafsvik,IS,64.8945,-23.7142,47.68,73,89,13.98,overcast clouds
373,Asosa,ET,10.0667,34.5333,61.09,96,100,2.44,light rain
374,Hobyo,SO,5.3505,48.5268,77.97,88,83,21.52,broken clouds
375,Severobaykalsk,RU,55.65,109.3167,63.27,57,11,1.43,few clouds
376,Palmer,US,42.1584,-72.3287,70.41,73,75,9.22,broken clouds
377,Marabba,SD,12.35,32.1833,79.63,52,100,12.1,overcast clouds
378,Montefiascone,IT,42.5393,12.0362,66.47,78,19,2.84,few clouds
379,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,88,77,8.55,broken clouds
380,Bourail,NC,-21.5667,165.4833,79.61,68,86,7.0,overcast clouds
381,Labuhan,ID,-6.8844,112.2051,84.99,72,65,10.69,broken clouds
382,Bahia Blanca,AR,-38.7196,-62.2724,45.55,91,0,2.98,clear sky
383,Namibe,AO,-15.1961,12.1522,63.64,70,13,2.71,few clouds
